rank,account_id,segment_name,arr,rsam_score,risk_adj_clv,propensity_score,churn_prob_6m,composite_score,final_tier,action_tags,shap_driver_1,shap_driver_2,shap_driver_3,contract_end_days,health_score,nps_score
2229,ACC-00707,At-Risk Dormant,5452.82,38946.9,91167.38,0.4905,0.12,0.288007,Tier 4 — Nurture,📅 Renewal Window,contract_end_days,support_tickets_l90d,tenure_months,67,53.28,1
2230,ACC-00005,Growth-Stage Expanding,134964.3,43949.72,438220.07,0.4197,0.12,0.288005,Tier 4 — Nurture,➕ Cross-Sell,,,,342,51.29,8
2231,ACC-09789,Loyal Mid-Market,8466.2,84740.06,203686.8,0.3647,0.12,0.287934,Tier 4 — Nurture,💰 High Headroom | ➕ Cross-Sell,,,,184,57.75,8
2232,ACC-05141,Loyal Mid-Market,11749.31,42965.63,104323.17,0.4192,0.12,0.287925,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,,,,284,82.68,10
2233,ACC-06852,At-Risk Dormant,23749.01,28798.75,101732.48,0.4721,0.12,0.28792,Tier 4 — Nurture,📅 Renewal Window | ➕ Cross-Sell,,,,46,55.37,5
2234,ACC-06705,At-Risk Dormant,8781.94,12866.08,48260.65,0.4841,0.12,0.287877,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,59,73.65,9
2235,ACC-04305,Growth-Stage Expanding,121743.8,0.0,232124.84,0.5969,0.12,0.287862,Tier 4 — Nurture,👀 Monitor,logins_stddev,arr_per_tenure_month,avg_storage_gb,194,49.7,6
2236,ACC-02983,Growth-Stage Expanding,150559.14,13822.11,385748.03,0.4659,0.12,0.287846,Tier 4 — Nurture,👀 Monitor,,,,317,63.46,7
2237,ACC-07987,Loyal Mid-Market,1384.89,71714.22,145808.4,0.3729,0.12,0.287833,Tier 4 — Nurture,💰 High Headroom,arr,tenure_months,logins_per_user,290,72.09,8
2238,ACC-05679,Loyal Mid-Market,16119.83,83279.51,237630.71,0.4344,0.12,0.287756,Tier 4 — Nurture,💰 High Headroom,max_storage_gb,nps_score,avg_storage_gb,333,39.96,5
2239,ACC-06704,Growth-Stage Expanding,85319.42,41730.81,264603.26,0.4669,0.12,0.287751,Tier 4 — Nurture,➕ Cross-Sell,,,,278,55.5,3
2240,ACC-02582,Loyal Mid-Market,788.36,89018.0,160693.52,0.3957,0.12,0.287732,Tier 4 — Nurture,💰 High Headroom,,,,178,50.34,7
2241,ACC-03395,Loyal Mid-Market,7506.5,44812.33,101289.23,0.4668,0.12,0.287728,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,,,,206,67.24,9
2242,ACC-01595,At-Risk Dormant,1935.0,10745.07,33475.41,0.5386,0.12,0.287708,Tier 4 — Nurture,📅 Renewal Window,contract_end_days,arr,users_per_login,49,57.54,4
2243,ACC-07935,At-Risk Dormant,3079.15,36783.91,105238.5,0.3895,0.12,0.287696,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,45,70.95,10
2244,ACC-00529,Loyal Mid-Market,3357.78,71766.07,148745.24,0.4136,0.12,0.287695,Tier 4 — Nurture,💰 High Headroom,,,,257,60.29,7
2245,ACC-03398,Growth-Stage Expanding,84422.07,0.0,165917.51,0.4914,0.12,0.287683,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,71,72.57,9
2246,ACC-06769,Loyal Mid-Market,932.42,46325.83,120603.08,0.3921,0.12,0.28765,Tier 4 — Nurture,⭐ Promoter,,,,332,86.57,9
2247,ACC-02212,Loyal Mid-Market,11509.93,83403.91,238043.93,0.4269,0.12,0.287602,Tier 4 — Nurture,💰 High Headroom,,,,226,39.9,5
2248,ACC-09049,Loyal Mid-Market,1845.62,30627.77,69536.33,0.483,0.12,0.287587,Tier 4 — Nurture,⭐ Promoter,,,,168,73.8,9
2249,ACC-02301,At-Risk Dormant,8109.24,7456.42,41093.29,0.5324,0.12,0.287581,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,contract_end_days,arr_utilization,health_score,61,65.53,10
2250,ACC-04782,Loyal Mid-Market,1383.35,30681.77,71954.11,0.4803,0.12,0.287581,Tier 4 — Nurture,⭐ Promoter,,,,157,73.72,9
2251,ACC-01708,Loyal Mid-Market,32862.14,78636.58,201143.66,0.3858,0.12,0.287559,Tier 4 — Nurture,💰 High Headroom,,,,155,54.84,5
2252,ACC-07657,At-Risk Dormant,9454.82,35010.98,103694.29,0.4913,0.12,0.287506,Tier 4 — Nurture,📅 Renewal Window | ➕ Cross-Sell,,,,49,47.3,1
2253,ACC-04430,Growth-Stage Expanding,140999.63,0.0,370171.03,0.6064,0.12,0.287462,Tier 4 — Nurture,➕ Cross-Sell,,,,140,31.35,1
2254,ACC-00592,Loyal Mid-Market,10433.5,82148.39,210469.52,0.3456,0.12,0.287417,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,143,61.53,9
2255,ACC-05218,High-Value Engaged,224925.96,0.0,593804.53,0.47,0.12,0.287397,Tier 4 — Nurture,👀 Monitor,,,,104,43.38,3
2256,ACC-04670,At-Risk Dormant,28761.26,12928.72,110061.55,0.4974,0.12,0.287377,Tier 4 — Nurture,📅 Renewal Window | ➕ Cross-Sell,,,,86,70.53,6
2257,ACC-09531,Loyal Mid-Market,6498.63,45713.64,101082.96,0.4608,0.12,0.287353,Tier 4 — Nurture,👀 Monitor,,,,316,70.13,5
2258,ACC-09400,At-Risk Dormant,13745.0,31739.86,120079.98,0.4757,0.12,0.287233,Tier 4 — Nurture,📅 Renewal Window | ➕ Cross-Sell,,,,41,46.96,2
2259,ACC-05765,Loyal Mid-Market,2136.19,31047.84,78845.25,0.4877,0.12,0.28723,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,,,,346,75.03,9
2260,ACC-04892,Loyal Mid-Market,33679.0,59731.61,169882.75,0.3929,0.12,0.287204,Tier 4 — Nurture,👀 Monitor,,,,142,67.38,8
2261,ACC-07925,Loyal Mid-Market,1656.8,47191.06,110330.99,0.5141,0.12,0.28717,Tier 4 — Nurture,👀 Monitor,avg_storage_gb,arr_utilization,max_storage_gb,332,54.17,8
2262,ACC-00532,Loyal Mid-Market,9870.68,65580.75,199191.8,0.3542,0.12,0.287162,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,198,73.54,10
2263,ACC-03841,Loyal Mid-Market,7473.57,87280.7,172326.47,0.3937,0.12,0.287102,Tier 4 — Nurture,💰 High Headroom,,,,218,51.76,8
2264,ACC-06396,Loyal Mid-Market,9026.35,67262.18,183499.29,0.3703,0.12,0.287101,Tier 4 — Nurture,💰 High Headroom,contract_end_days,num_products,arr,223,70.3,5
2265,ACC-01975,At-Risk Dormant,32053.78,0.0,82741.49,0.5231,0.12,0.287088,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,health_score,arr,logins_stddev,87,74.77,9
2266,ACC-09146,At-Risk Dormant,9449.11,35176.74,117812.19,0.444,0.12,0.287069,Tier 4 — Nurture,📅 Renewal Window,,,,52,59.56,5
2267,ACC-05838,At-Risk Dormant,4781.85,9214.61,29765.79,0.4669,0.12,0.287062,Tier 4 — Nurture,📅 Renewal Window,,,,51,78.46,7
2268,ACC-05439,Loyal Mid-Market,1808.48,71496.63,152670.13,0.3955,0.12,0.287061,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,251,64.31,10
2269,ACC-05936,Loyal Mid-Market,4438.49,70232.11,156609.16,0.4075,0.12,0.28704,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,peak_feature_adoption,contract_end_days,num_products,198,60.21,10
2270,ACC-06274,Growth-Stage Expanding,67089.58,47517.08,253815.55,0.4403,0.12,0.28703,Tier 4 — Nurture,⭐ Promoter,,,,187,56.98,9
2271,ACC-05367,Loyal Mid-Market,55996.03,50209.6,269479.08,0.4518,0.12,0.286965,Tier 4 — Nurture,⭐ Promoter,,,,161,49.52,9
2272,ACC-07322,High-Value Engaged,207863.55,39475.8,237445.78,0.4393,0.52,0.286962,Tier 4 — Nurture,⚠️ Churn Risk,,,,111,59.41,4
2273,ACC-06930,Loyal Mid-Market,409.31,46451.77,91410.33,0.4648,0.12,0.286938,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,,,,124,62.94,10
2274,ACC-00808,Loyal Mid-Market,50922.29,53294.95,238449.07,0.4292,0.12,0.286919,Tier 4 — Nurture,👀 Monitor,,,,195,57.75,5
2275,ACC-03170,At-Risk Dormant,11216.51,11667.23,54371.79,0.5312,0.12,0.286819,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,73,64.6,9
2276,ACC-06476,High-Value Engaged,441938.81,0.0,836148.23,0.3212,0.12,0.286796,Tier 4 — Nurture,📅 Renewal Window,,,,87,57.3,8
2277,ACC-04189,Growth-Stage Expanding,58867.2,653.76,157135.33,0.5302,0.12,0.286784,Tier 4 — Nurture,👀 Monitor,,,,204,73.56,4
2278,ACC-01752,Loyal Mid-Market,26768.66,34634.28,142291.07,0.4903,0.12,0.286773,Tier 4 — Nurture,⭐ Promoter,arr,health_score,num_products,113,58.07,9
2279,ACC-06205,Growth-Stage Expanding,86958.15,59848.83,316515.87,0.3993,0.12,0.286685,Tier 4 — Nurture,👀 Monitor,,,,160,52.41,8
2280,ACC-08245,Loyal Mid-Market,679.41,70466.29,182607.27,0.3921,0.12,0.286683,Tier 4 — Nurture,💰 High Headroom,,,,250,62.77,7
2281,ACC-00296,Loyal Mid-Market,964.5,69441.71,164187.31,0.3488,0.12,0.28654,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,246,76.5,9
2282,ACC-00720,Loyal Mid-Market,4766.82,68150.4,192501.46,0.3633,0.12,0.286536,Tier 4 — Nurture,💰 High Headroom,,,,271,71.31,8
2283,ACC-03169,Growth-Stage Expanding,140802.63,42103.19,423853.78,0.4405,0.12,0.286501,Tier 4 — Nurture,👀 Monitor,,,,318,46.91,6
2284,ACC-02256,Loyal Mid-Market,8737.63,81283.03,237654.57,0.3794,0.12,0.286494,Tier 4 — Nurture,💰 High Headroom,,,,124,48.5,7
2285,ACC-00795,Growth-Stage Expanding,160926.38,36850.37,362590.69,0.3986,0.12,0.286487,Tier 4 — Nurture,⭐ Promoter,,,,315,67.24,9
2286,ACC-04301,Loyal Mid-Market,1698.99,46207.88,115232.0,0.478,0.12,0.286487,Tier 4 — Nurture,⭐ Promoter,arr,num_products,max_storage_gb,186,60.42,9
2287,ACC-06685,Loyal Mid-Market,24149.93,37610.87,128627.18,0.4974,0.12,0.286458,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,,,,289,62.11,10
2288,ACC-03153,Loyal Mid-Market,5919.39,84940.05,222545.03,0.375,0.12,0.286446,Tier 4 — Nurture,💰 High Headroom,,,,236,53.5,6
2289,ACC-02480,Loyal Mid-Market,1167.08,67242.93,161538.81,0.3523,0.12,0.286428,Tier 4 — Nurture,💰 High Headroom,,,,111,70.91,7
2290,ACC-09175,Loyal Mid-Market,1830.59,68736.87,179053.2,0.3875,0.12,0.28637,Tier 4 — Nurture,💰 High Headroom,,,,152,61.95,5
2291,ACC-06636,Loyal Mid-Market,37481.54,30282.27,132184.62,0.4432,0.12,0.286364,Tier 4 — Nurture,⭐ Promoter,,,,113,74.11,10
2292,ACC-06242,At-Risk Dormant,12251.97,18462.34,68922.87,0.4669,0.12,0.286353,Tier 4 — Nurture,📅 Renewal Window,,,,30,51.36,6
2293,ACC-05263,Loyal Mid-Market,18214.29,39948.99,106632.7,0.4371,0.12,0.286342,Tier 4 — Nurture,⭐ Promoter,,,,220,77.19,10
2294,ACC-07757,Growth-Stage Expanding,137959.19,0.0,364212.26,0.4913,0.12,0.286338,Tier 4 — Nurture,📅 Renewal Window,,,,76,54.07,3
2295,ACC-07932,Loyal Mid-Market,3604.92,69262.3,172063.84,0.4296,0.12,0.286338,Tier 4 — Nurture,💰 High Headroom | ➕ Cross-Sell,max_storage_gb,num_products,avg_storage_gb,166,51.75,7
2296,ACC-02401,Loyal Mid-Market,6281.97,83968.26,238260.55,0.3542,0.12,0.286321,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter | ➕ Cross-Sell,,,,289,59.09,9
2297,ACC-03623,Loyal Mid-Market,9046.65,27507.27,83635.39,0.4914,0.12,0.286302,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,,,,312,74.83,9
2298,ACC-05208,Loyal Mid-Market,2219.4,70709.87,158305.15,0.4442,0.12,0.286233,Tier 4 — Nurture,💰 High Headroom,,,,200,49.43,6
2299,ACC-00139,Loyal Mid-Market,13903.46,41671.16,134490.58,0.4458,0.12,0.286233,Tier 4 — Nurture,👀 Monitor,,,,352,73.21,7
2300,ACC-02172,Loyal Mid-Market,39162.63,57047.19,220128.09,0.478,0.12,0.286217,Tier 4 — Nurture,👀 Monitor,num_products,arr,arr_per_tenure_month,193,43.42,5
2301,ACC-04557,Loyal Mid-Market,11188.05,65980.84,169771.55,0.3614,0.12,0.286164,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,179,72.69,9
2302,ACC-04760,Loyal Mid-Market,3268.43,85962.94,234262.14,0.4064,0.12,0.286141,Tier 4 — Nurture,💰 High Headroom,,,,328,44.66,5
2303,ACC-04889,At-Risk Dormant,23630.79,4114.12,71618.86,0.5138,0.12,0.286138,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter | ➕ Cross-Sell,,,,83,74.15,10
2304,ACC-03933,Loyal Mid-Market,2901.09,71893.43,137123.31,0.4205,0.12,0.286106,Tier 4 — Nurture,💰 High Headroom,,,,253,58.18,5
2305,ACC-00341,Growth-Stage Expanding,141878.2,0.0,293404.12,0.4669,0.12,0.286074,Tier 4 — Nurture,📅 Renewal Window,logins_stddev,arr,avg_feature_adoption,67,64.81,3
2306,ACC-06342,At-Risk Dormant,3202.59,33720.45,91519.89,0.3768,0.12,0.286053,Tier 4 — Nurture,📅 Renewal Window | ➕ Cross-Sell,,,,31,64.16,7
2307,ACC-03211,At-Risk Dormant,15644.47,17117.98,81207.24,0.4475,0.12,0.286044,Tier 4 — Nurture,📅 Renewal Window,,,,32,58.53,8
2308,ACC-09858,At-Risk Dormant,9970.12,20112.79,68829.72,0.4807,0.12,0.286035,Tier 4 — Nurture,📅 Renewal Window,,,,34,51.11,4
2309,ACC-06608,Loyal Mid-Market,38794.62,11698.44,133301.68,0.5302,0.12,0.286017,Tier 4 — Nurture,👀 Monitor,health_score,arr,num_products,193,67.56,8
2310,ACC-00999,At-Risk Dormant,3442.63,16202.45,47541.07,0.4562,0.12,0.285998,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,79,82.86,9
2311,ACC-00706,Loyal Mid-Market,5025.43,69233.32,169904.02,0.4643,0.12,0.285987,Tier 4 — Nurture,💰 High Headroom,,,,208,44.03,5
2312,ACC-07939,At-Risk Dormant,73175.36,3420.18,193224.97,0.4538,0.12,0.285966,Tier 4 — Nurture,📅 Renewal Window,,,,34,57.54,5
2313,ACC-01073,Loyal Mid-Market,23925.28,81636.63,204367.88,0.3767,0.12,0.285953,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,274,57.32,10
2314,ACC-02143,Loyal Mid-Market,6349.8,69503.31,159089.28,0.3748,0.12,0.285931,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,339,70.99,9
2315,ACC-01207,At-Risk Dormant,12369.74,4848.59,32577.1,0.5241,0.12,0.285866,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter | ➕ Cross-Sell,,,,62,69.29,10
2316,ACC-00945,Loyal Mid-Market,31939.41,60216.8,193282.29,0.4252,0.12,0.285861,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,178,57.06,9
2317,ACC-04676,Growth-Stage Expanding,133225.53,0.0,300912.07,0.5302,0.12,0.285859,Tier 4 — Nurture,➕ Cross-Sell,,,,124,55.74,5
2318,ACC-05412,Loyal Mid-Market,11719.01,26339.8,75356.44,0.4914,0.12,0.28583,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,,,,332,76.27,10
2319,ACC-00949,Loyal Mid-Market,2492.4,46027.76,90376.89,0.414,0.12,0.285821,Tier 4 — Nurture,👀 Monitor,,,,205,80.02,8
2320,ACC-02123,Loyal Mid-Market,21429.45,81261.56,191279.12,0.3891,0.12,0.285798,Tier 4 — Nurture,💰 High Headroom | ➕ Cross-Sell,,,,153,51.71,7
2321,ACC-05547,Loyal Mid-Market,1723.99,30863.29,78383.25,0.4841,0.12,0.285766,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,,,,285,74.25,10
2322,ACC-00430,Loyal Mid-Market,1740.12,30815.42,82126.82,0.4605,0.12,0.285756,Tier 4 — Nurture,👀 Monitor,,,,355,81.08,8
2323,ACC-08644,At-Risk Dormant,33890.92,9766.7,41911.33,0.5917,0.52,0.285755,Tier 4 — Nurture,📅 Renewal Window | ⚠️ Churn Risk,,,,68,48.88,3
2324,ACC-05023,Loyal Mid-Market,2518.68,87902.6,169750.88,0.3761,0.12,0.28569,Tier 4 — Nurture,💰 High Headroom,,,,232,55.55,5
2325,ACC-06139,Loyal Mid-Market,25319.85,19020.2,117057.73,0.5272,0.12,0.285644,Tier 4 — Nurture,➕ Cross-Sell,,,,333,67.54,8
2326,ACC-07387,Loyal Mid-Market,4446.14,68382.15,163426.71,0.3652,0.12,0.285613,Tier 4 — Nurture,💰 High Headroom,,,,194,70.82,8
2327,ACC-06112,At-Risk Dormant,109135.14,0.0,259305.09,0.5333,0.12,0.28559,Tier 4 — Nurture,📅 Renewal Window,,,,49,43.19,6
2328,ACC-05027,Loyal Mid-Market,19659.8,37791.23,132290.59,0.457,0.12,0.285552,Tier 4 — Nurture,👀 Monitor,health_score,login_growth,num_products,128,66.16,7
2329,ACC-03689,Loyal Mid-Market,9381.98,65922.82,176715.31,0.3771,0.12,0.285543,Tier 4 — Nurture,💰 High Headroom,,,,142,65.58,7
2330,ACC-01781,Loyal Mid-Market,38792.39,29094.57,146364.27,0.4668,0.12,0.285502,Tier 4 — Nurture,👀 Monitor,,,,97,64.79,7
2331,ACC-07782,Loyal Mid-Market,41291.18,55828.09,256394.85,0.4234,0.12,0.285476,Tier 4 — Nurture,⭐ Promoter,,,,253,56.33,9
2332,ACC-04931,At-Risk Dormant,10646.29,35727.16,89098.86,0.457,0.12,0.28543,Tier 4 — Nurture,📅 Renewal Window,,,,59,60.03,7
2333,ACC-07506,Loyal Mid-Market,3543.98,85401.87,185244.58,0.3572,0.12,0.285398,Tier 4 — Nurture,💰 High Headroom,,,,175,58.76,5
2334,ACC-04489,At-Risk Dormant,21285.32,0.0,38086.53,0.545,0.12,0.285395,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,73,69.1,9
2335,ACC-07664,Loyal Mid-Market,1146.82,47733.1,89613.22,0.4531,0.12,0.285368,Tier 4 — Nurture,⭐ Promoter,,,,341,70.71,10
2336,ACC-04654,Growth-Stage Expanding,110081.85,55185.67,293294.78,0.3804,0.12,0.285364,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,65,50.2,10
2337,ACC-09777,Growth-Stage Expanding,180431.29,0.0,439290.05,0.4816,0.12,0.285363,Tier 4 — Nurture,➕ Cross-Sell,,,,324,61.59,7
2338,ACC-00448,At-Risk Dormant,6715.37,36684.21,110755.7,0.4579,0.12,0.285352,Tier 4 — Nurture,📅 Renewal Window | ➕ Cross-Sell,,,,57,56.32,8
2339,ACC-03974,At-Risk Dormant,29584.7,0.0,68557.61,0.529,0.12,0.285344,Tier 4 — Nurture,📅 Renewal Window,,,,66,68.63,7
2340,ACC-02385,Growth-Stage Expanding,73783.23,59827.67,339015.42,0.4314,0.12,0.28533,Tier 4 — Nurture,👀 Monitor,,,,99,35.87,2
2341,ACC-01267,Loyal Mid-Market,55065.11,52274.74,244019.21,0.4502,0.12,0.285285,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,arr,avg_feature_adoption,num_products,323,53.67,10
2342,ACC-00188,High-Value Engaged,144616.44,52150.63,519465.09,0.3821,0.12,0.285285,Tier 4 — Nurture,📅 Renewal Window | ➕ Cross-Sell,,,,75,32.97,2
2343,ACC-08800,Loyal Mid-Market,31147.84,59225.54,235934.72,0.391,0.12,0.285208,Tier 4 — Nurture,⭐ Promoter,,,,268,64.7,9
2344,ACC-07634,Loyal Mid-Market,5358.3,68862.0,131716.29,0.3729,0.12,0.285182,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,159,69.67,10
2345,ACC-05872,Loyal Mid-Market,19759.86,21746.59,107750.77,0.4877,0.12,0.285149,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,health_score,num_products,logins_per_user,280,76.01,9
2346,ACC-08430,Loyal Mid-Market,4081.1,44087.02,87601.79,0.4298,0.12,0.285139,Tier 4 — Nurture,⭐ Promoter,,,,107,71.18,9
2347,ACC-03531,Growth-Stage Expanding,70961.0,15733.23,209800.06,0.529,0.12,0.285115,Tier 4 — Nurture,📅 Renewal Window,,,,84,48.82,0
2348,ACC-02809,Loyal Mid-Market,23483.12,61687.68,224850.91,0.368,0.12,0.285105,Tier 4 — Nurture,💰 High Headroom,num_products,peak_feature_adoption,tenure_months,361,71.38,8
2349,ACC-08981,Loyal Mid-Market,3188.89,29751.38,80198.54,0.4729,0.12,0.285078,Tier 4 — Nurture,⭐ Promoter,,,,219,75.92,10
2350,ACC-03515,At-Risk Dormant,2467.79,40118.23,112427.12,0.4528,0.12,0.285065,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,82,61.71,10
2351,ACC-05935,Loyal Mid-Market,36436.61,73333.57,270473.7,0.368,0.12,0.285047,Tier 4 — Nurture,💰 High Headroom,,,,146,54.14,5
2352,ACC-03960,At-Risk Dormant,46114.25,0.0,101451.35,0.5333,0.12,0.285006,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,88,68.88,10
2353,ACC-01668,Loyal Mid-Market,34676.11,32282.83,142399.36,0.4939,0.12,0.284993,Tier 4 — Nurture,👀 Monitor,,,,213,62.58,6
2354,ACC-08595,Growth-Stage Expanding,114161.13,49958.43,392355.19,0.4273,0.12,0.28499,Tier 4 — Nurture,👀 Monitor,,,,214,45.09,5
2355,ACC-07905,Loyal Mid-Market,1055.21,84214.41,197598.11,0.3325,0.12,0.28499,Tier 4 — Nurture,💰 High Headroom,,,,176,64.68,6
2356,ACC-02737,At-Risk Dormant,19654.02,5747.64,51040.4,0.503,0.12,0.284988,Tier 4 — Nurture,📅 Renewal Window,,,,36,57.55,4
2357,ACC-00275,Loyal Mid-Market,23974.91,36191.5,124424.18,0.4643,0.12,0.284979,Tier 4 — Nurture,⭐ Promoter | ➕ Cross-Sell,,,,129,65.66,10
2358,ACC-01451,At-Risk Dormant,1086.67,39963.88,79473.86,0.4398,0.12,0.284907,Tier 4 — Nurture,📅 Renewal Window,,,,60,62.66,2
2359,ACC-09183,Loyal Mid-Market,10689.88,42972.87,124354.51,0.483,0.12,0.284905,Tier 4 — Nurture,⭐ Promoter,,,,319,62.03,9
2360,ACC-07744,Loyal Mid-Market,1383.64,45891.8,124807.16,0.4258,0.12,0.284898,Tier 4 — Nurture,➕ Cross-Sell,,,,248,74.11,6
2361,ACC-01948,At-Risk Dormant,1145.0,41071.9,78016.87,0.4691,0.12,0.284878,Tier 4 — Nurture,📅 Renewal Window | ➕ Cross-Sell,,,,74,58.19,4
2362,ACC-06503,Loyal Mid-Market,7939.33,67453.54,196825.6,0.3779,0.12,0.284877,Tier 4 — Nurture,💰 High Headroom,,,,340,67.18,6
2363,ACC-01817,Loyal Mid-Market,9734.91,85122.01,178078.04,0.3794,0.12,0.284874,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,200,54.23,9
2364,ACC-08325,At-Risk Dormant,2817.17,37748.62,38943.18,0.4431,0.52,0.284838,Tier 4 — Nurture,📅 Renewal Window | ⚠️ Churn Risk,contract_end_days,arr_per_tenure_month,max_storage_gb,41,57.47,4
2365,ACC-01272,Loyal Mid-Market,15844.14,64500.47,169687.84,0.4143,0.12,0.284796,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,132,56.05,9
2366,ACC-02730,At-Risk Dormant,565.16,41037.04,74440.2,0.4845,0.12,0.28476,Tier 4 — Nurture,📅 Renewal Window,,,,70,53.4,4
2367,ACC-06382,Loyal Mid-Market,864.17,84021.35,224097.8,0.3741,0.12,0.284671,Tier 4 — Nurture,💰 High Headroom,,,,158,50.19,6
2368,ACC-07316,Loyal Mid-Market,22353.32,62252.12,223358.36,0.4053,0.12,0.284645,Tier 4 — Nurture,💰 High Headroom | ➕ Cross-Sell,,,,249,59.29,5
2369,ACC-08097,Growth-Stage Expanding,153018.31,12540.18,332662.16,0.4914,0.12,0.284642,Tier 4 — Nurture,⭐ Promoter,logins_stddev,arr,arr_per_tenure_month,152,55.73,9
2370,ACC-05245,At-Risk Dormant,1805.46,17035.4,33712.58,0.4877,0.12,0.28463,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,,,,70,72.16,9
2371,ACC-05182,Loyal Mid-Market,37969.12,56497.65,234151.61,0.3804,0.12,0.284464,Tier 4 — Nurture,⭐ Promoter,,,,233,68.21,9
2372,ACC-05116,At-Risk Dormant,500.35,27258.44,63104.98,0.4815,0.12,0.284408,Tier 4 — Nurture,📅 Renewal Window | ⭐ Promoter,contract_end_days,arr,num_products,62,61.81,10
2373,ACC-05001,Loyal Mid-Market,34319.67,74717.46,283060.45,0.3685,0.12,0.284385,Tier 4 — Nurture,💰 High Headroom | ⭐ Promoter,,,,249,55.01,9
2374,ACC-06926,Loyal Mid-Market,14165.25,24808.09,80596.85,0.5057,0.12,0.284348,Tier 4 — Nurture,⭐ Promoter,health_score,num_products,users_per_login,289,71.29,10
2375,ACC-04840,At-Risk Dormant,31762.76,25972.52,127017.62,0.4974,0.12,0.284335,Tier 4 — Nurture,📅 Renewal Window,,,,72,55.16,5
2376,ACC-05830,Loyal Mid-Market,6136.74,44838.68,109155.36,0.457,0.12,0.284331,Tier 4 — Nurture,⭐ Promoter,,,,281,68.16,9
2377,ACC-05323,Loyal Mid-Market,1745.39,86703.1,182911.52,0.3536,0.12,0.284326,Tier 4 — Nurture,💰 High Headroom,,,,278,60.96,5
2378,ACC-04383,Loyal Mid-Market,5364.3,84926.53,184072.89,0.3427,0.12,0.284314,Tier 4 — Nurture,💰 High Headroom,,,,237,64.12,5
2379,ACC-07582,At-Risk Dormant,1338.52,26361.15,69064.53,0.4103,0.12,0.284305,Tier 4 — Nurture,📅 Renewal Window,,,,63,81.01,8
2380,ACC-01869,Loyal Mid-Market,2198.99,68163.48,156861.4,0.3858,0.12,0.284268,Tier 4 — Nurture,💰 High Headroom | ➕ Cross-Sell,num_products,num_users,arr,128,61.71,5
2381,ACC-02521,At-Risk Dormant,67780.13,7195.39,135255.86,0.4775,0.12,0.284259,Tier 4 — Nurture,📅 Renewal Window,,,,70,71.54,5
2382,ACC-07235,At-Risk Dormant,12112.93,35546.68,125821.37,0.4381,0.12,0.284165,Tier 4 — Nurture,📅 Renewal Window,,,,86,67.41,5
2383,ACC-05781,Loyal Mid-Market,604.99,45833.06,98758.21,0.4877,0.12,0.284157,Tier 4 — Nurture,👀 Monitor,,,,141,55.69,5
2384,ACC-05424,Growth-Stage Expanding,99596.69,35939.75,262398.57,0.4381,0.12,0.284154,Tier 4 — Nurture,👀 Monitor,,,,318,65.04,3
2385,ACC-00166,Loyal Mid-Market,30259.24,59797.2,169065.96,0.3917,0.12,0.284137,Tier 4 — Nurture,👀 Monitor,num_products,tenure_months,logins_stddev,135,64.94,8
